HBA,HBD,TPSA,dipole,excitation_energy_1,excitation_energy_2,excitation_energy_3,excitation_energy_4,homo_energy,homo_lumo_gap,logP,lumo_energy,melting_point,molecular_refractivity,oscillator_strength_1,oscillator_strength_2,oscillator_strength_3,oscillator_strength_4,pccdb_id,smiles
5,3,94.83,4.7,2.61,3.954,4.496,5.058,-6.631,4.125,-2.389,-2.506,94.65,32.73,0.0001,0.0005,0.0032,0.0013,344,O[C@@H]1CC(=O)C(=O)[C@@H]([C@@H]1O)O
5,2,91.67,2.92,2.937,4.299,4.769,4.793,-7.197,4.444,0.061,-2.754,158.27,39.03,0.0,0.0909,0.0535,0.1299,354,OC(=O)CC/C=C/C(=O)C(=O)O
4,2,74.6,4.14,3.136,3.964,4.123,4.937,-6.814,4.256,0.659,-2.558,156.34,40.43,0.0,0.3162,0.0076,0.0,355,Oc1ccc(cc1)C(=O)C(=O)O
0,0,0.0,0.0,7.738,7.922,7.941,7.995,-8.109,10.653,3.367,2.544,-27.89,40.57,0.0,0.019,0.0,0.0138,356,CCCCCCCC
4,2,80.39,4.73,4.197,4.906,5.227,5.539,-6.705,5.219,0.468,-1.486,126.24,35.64,0.0005,0.002,0.0237,0.0125,358,C[C@@H](CC(=O)CC(=O)O)N
3,3,60.69,2.72,5.004,5.071,5.084,5.313,-5.785,6.373,0.803,0.588,125.24,32.51,0.0006,0.0018,0.0013,0.0011,359,Oc1cc(O)cc(c1)O
3,2,57.53,3.47,3.859,5.471,5.598,5.737,-6.49,5.336,0.152,-1.154,60.52,31.3,0.0001,0.0913,0.1807,0.0977,361,O[C@H]1CC(=CC(=O)C1)O
2,2,40.46,2.72,4.419,4.692,5.136,5.552,-6.128,4.999,1.108,-1.129,90.83,46.52,0.118,0.0187,0.0225,0.3473,362,O[C@H]1C=Cc2c([C@H]1O)cccc2
2,1,43.09,3.0,4.16,5.122,6.062,6.46,-6.735,6.041,-0.156,-0.694,62.07,14.64,0.0001,0.0089,0.0051,0.0088,363,NCC=O
4,3,89.34,5.26,5.297,5.596,6.326,6.332,-6.381,6.977,-0.242,0.596,161.09,23.72,0.0104,0.0088,0.0025,0.0076,364,N[C@H](C(=O)O)CN
